Procerus,降眉间肌
Levator Labii Superioris Alaeque Nasi,提上唇鼻翼肌
Nasalis Transverse part,鼻肌，横部
Orbicularis oculi,眼轮匝肌
Occipitofrontalis Frontal belly,颅顶肌，额肌
Temporalis,颞肌
Corrugator supercilii,皱眉肌
Auricularis superior,耳上肌
Occipitofrontalis Occipital belly,颅顶肌，枕肌
Orbicularis Oris,口轮匝肌
Mentalis,颏提肌
Depressor labii Inferioris,降下唇肌
Depressor Anguli Oris,降口角肌
Mylohyoideus,下颌舌骨
Levator Labii Superioris,上唇提肌
Levator anguli oris,降口角肌
Zygomaticus Minor,颧小肌
Zygomaticus Major,颧大肌
Auricularis Posterior,耳后肌
Digastricus,二腹肌
Masseter Superficial part,咬肌浅部
Buccinator,颊肌
Stylohyoid,茎突舌骨
Rectus Capitis Posterior Minor,头后小直肌
Rectus Capitis Posterior Major,头后大直肌
Obliquus Capitis Superior,头上斜肌
Obliquus Capitis Inferior,头下斜肌
Pectoralis Major,胸大肌
Pectoralis Minor,胸小肌
Trapezius,斜方肌
Supraspinatus,冈上肌
Sternocleidomastoid,胸锁乳突肌
Omohyoid,肩胛舌骨肌
Semispinalis Capitis,头半棘肌
Splenius Capitis,头夹肌
Longus Capitis,头长肌
Longissimus Capitis,头最长肌
Interspinales cervivis,颈棘间肌
External_oblique,腹外斜肌
Internal oblique,腹内斜肌
Transversus abdominis,腹横肌
Rectus_abdominis_SX,腹直肌
Serratus Anterior,前锯肌
Latissimus_Dorsi,背阔肌
Serratus Posterior Inferior,下后锯肌
Lliocostalis Lumborum,腰髂肋肌
Spinalis Dorsi,背棘肌
Rhomboideus,菱形肌
Deltoid,三角肌
Infraspinatus,冈下肌
Subscapularis,肩胛下肌
Teres Minor,小圆肌
Teres Major,大圆肌
Serratus Posterior Superior,上后锯肌
Splenius Cervicis,颈夹肌
Longus Colli,颈长肌
Thyrohyoideus,甲状舌骨肌
Sternothyroid,胸骨甲状肌
Sternohyoid,胸骨舌骨肌
Anterior scalene,前斜角肌
Posterior scalene,后斜角肌
Levator Scapulae,肩胛提肌
Semispinalis Capitis,头半棘肌
Psoas Major,腰大肌
Psoas Minor,腰小肌
Quadratus Lumborum,腰方肌
Iliacus,骼肌
Rotatores Breves,回旋长肌
Levatores Costarum Breves,肋短提肌
Biceps Brachii,肱二头肌
Brachialis,肱肌
Triceps Brachii,肱三头肌
Coracobrachialis,喙肱肌
Brachioradialis,肱桡肌
Extensor Carpi Radialis Longus,伸肌桡侧腕长肌
Extensor Carpi Radialis Brevis,伸肌桡侧腕短伸肌
Extensor Digitorum,伸指肌
Extensor Carpi Ulnaris,尺侧腕伸肌
